Range,Site,TransYear,ID,lifestage,lifestageNext,size,sizeNext,fec.totfruit,fec.meanseed,fec.totseed,surv
North,Nordic Center,1314,199,3,3,41.09,16.49,1,18,18,1
North,Nordic Center,1314,202,3,3,38.08,18.85,0,,,1
North,Nordic Center,1314,214,3,3,94.86,153.15,1,9,9,1
North,Nordic Center,1314,228,3,3,47.23,81.29,1,15,15,1
North,Nordic Center,1314,229,3,3,102.64,141.37,2,10.5,21,1
North,Nordic Center,1314,233,3,3,97.26,94.25,3,7,21,1
North,Nordic Center,1314,235,3,3,109.75,7.85,2,8,16,1
North,Nordic Center,1314,239,3,,59.49,,0,,,0
North,Nordic Center,1314,244,3,,82.11,,0,,,0
North,Nordic Center,1314,245,3,,326.6,,0,,,0
North,Nordic Center,1314,246,3,,29.26,,0,,,0
North,Nordic Center,1314,258,3,3,121.17,164.93,10,12.44444444,124.4444444,1
North,Nordic Center,1314,272,3,,77.93,,0,,,0
North,Nordic Center,1314,273,3,3,45.59,35.34,0,,,1
North,Nordic Center,1314,274,3,,114.11,,4,7.75,31,0
North,Nordic Center,1314,275,3,,13.43,,1,8,8,0
North,Nordic Center,1314,279,3,3,109.72,129.59,3,9.333333333,28,1
North,Nordic Center,1314,280,3,,38,,0,,,0
North,Nordic Center,1314,281,3,,175.21,,10,0,0,0
North,Nordic Center,1314,282,3,,144.15,,3,10,30,0
North,Nordic Center,1314,283,3,,161.16,,8,7.75,62,0
North,Nordic Center,1314,284,3,,112.71,,2,14,28,0
North,Nordic Center,1314,286,3,3,44.56,54.98,1,0,0,1
North,Nordic Center,1314,296,3,,109.72,,2,5,10,0
North,Nordic Center,1314,297,3,,133.16,,1,0,0,0
North,Nordic Center,1314,298,3,3,161.01,32.99,6,8.666666667,52,1
North,Nordic Center,1314,301,3,,614.21,,14,13.7,191.8,0
North,Nordic Center,1314,306,3,3,517.14,511.29,25,9.888888889,247.2222222,1
North,Nordic Center,1314,315,3,2,244.32,102.1,9,13.44444444,121,1
North,Nordic Center,1314,318,3,,78.41,,0,,,0
North,Nordic Center,1314,323,3,3,33.69,86.39,0,,,1
North,Nordic Center,1314,324,3,3,58.61,86.39,0,,,1
North,Nordic Center,1314,328,3,3,272.49,198.71,0,,,1
North,Nordic Center,1314,331,3,3,189.07,172.79,0,,,1
North,Nordic Center,1314,333,3,,41.56,,0,,,0
North,Nordic Center,1314,338,3,,159.04,,6,15.66666667,94,0
North,Nordic Center,1314,339,3,3,122.66,37.7,1,7,7,1
North,Nordic Center,1314,343,3,3,142.79,54.98,0,,,1
North,Nordic Center,1314,344,3,3,118.82,81.68,0,,,1
North,Nordic Center,1314,360,3,3,37.32,34.16,1,11,11,1
North,Nordic Center,1314,364,3,3,130.28,25.13,0,,,1
North,Nordic Center,1314,368,3,3,345.32,190.07,10,7.636363636,76.36363636,1
North,Nordic Center,1314,369,3,3,276.66,160.22,7,11.42857143,80,1
North,Nordic Center,1314,370,3,3,64.31,34.56,0,,,1
North,Nordic Center,1415,1,3,2,11.78,4.18,0,,0,1
North,Nordic Center,1415,4,3,,54.98,,0,,0,
North,Nordic Center,1415,8,3,3,77.75,87.26,6,2.5,15,1
North,Nordic Center,1415,12,3,,35.34,,1,17,17,0
North,Nordic Center,1415,24,3,2,70.69,63.62,1,2,2,1
North,Nordic Center,1415,25,3,3,109.96,80.58,1,12,12,1
North,Nordic Center,1415,199,3,3,16.49,34.11,0,,0,1
North,Nordic Center,1415,202,3,3,18.85,14.29,0,,0,1
North,Nordic Center,1415,228,3,2,81.29,8.05,0,,0,1
North,Nordic Center,1415,240,3,,,,2,0,0,
North,Nordic Center,1415,255,3,2,50.27,1.18,0,,0,1
North,Nordic Center,1415,273,3,3,35.34,36.76,0,,0,1
North,Nordic Center,1415,290,3,3,30.24,16.1,0,,0,1
North,Nordic Center,1415,298,3,,32.99,,0,,0,0
North,Nordic Center,1415,336,3,,62.83,,0,,0,0
North,Nordic Center,1415,339,3,2,37.7,29.15,0,,0,1
North,Nordic Center,1415,344,3,3,81.68,89.72,1,7,7,1
North,Nordic Center,1415,369,3,3,160.22,53.09,4,5.5,22,1
North,Nordic Center,1415,370,3,3,34.56,42.88,0,,0,1
North,Nordic Center,1415,911,3,2,471.24,211.82,22,13.3,292.6,1
North,Nordic Center,1415,920,3,3,81.68,43.42,2,11,22,1
North,Nordic Center,1415,923,3,2,188.5,116.82,16,10.4,166.4,1
North,Nordic Center,1415,939,3,2,138.23,29.25,2,4,8,1
North,Nordic Center,1415,940,3,3,87.96,36.84,6,4.166666667,25,1
North,Nordic Center,1415,944,3,3,157.08,76.4,7,7.4,51.8,1
North,Nordic Center,1415,950,3,3,329.87,187.65,0,,0,1
North,Nordic Center,1415,953,3,3,230.91,251.33,9,8.555555556,77,1
North,Nordic Center,1415,956,3,2,35.34,24.93,0,,0,1
North,Nordic Center,1415,960,3,3,77.75,100.3,0,,0,1
North,Nordic Center,1415,966,3,2,43.98,25.47,0,,0,1
North,Nordic Center,1415,973,3,2,56.55,37.01,7,5.142857143,36,1
North,Nordic Center,1415,975,3,2,88.36,19.51,1,7,7,1
North,Nordic Center,1415,985,3,2,69.12,6.6,3,0,0,1
North,Nordic Center,1415,987,3,2,47.12,6.87,1,7,7,1
North,Nordic Center,1415,993,3,2,103.67,17.9,1,19,19,1
North,Nordic Center,1415,994,3,2,94.25,13.27,2,1.5,3,1
North,Nordic Center,1415,997,3,2,49.48,19.32,0,,0,1
North,Nordic Center,1415,998,3,2,77.75,16.08,4,10,40,1
North,Nordic Center,1415,999,3,2,106.03,15.1,0,,0,1
North,Nordic Center,1516,8,3,,87.26,,0,,0,
North,Nordic Center,1516,25,3,3,80.58,101.787602,0,,0,1
North,Nordic Center,1516,199,3,3,34.11,131.8369357,0,,0,1
North,Nordic Center,1516,202,3,2,14.29,4.492477495,0,,0,1
North,Nordic Center,1516,273,3,3,36.76,104.1909204,1,11,11,1
North,Nordic Center,1516,290,3,3,16.1,178.1283035,0,,0,1
North,Nordic Center,1516,344,3,3,89.72,210.4867078,0,,0,1
North,Nordic Center,1516,369,3,3,53.09,196.5144745,0,,0,1
North,Nordic Center,1516,370,3,3,42.88,181.2227722,0,,0,1
North,Nordic Center,1516,920,3,3,43.42,39.26990817,0,,0,1
North,Nordic Center,1516,940,3,3,36.84,117.8097245,0,,0,1
North,Nordic Center,1516,944,3,3,76.4,252.0499786,0,,0,1
North,Nordic Center,1516,950,3,3,187.65,466.0552702,4,8.444444,33.77778,1
North,Nordic Center,1516,953,3,,251.33,,2,7.5,15,0
North,Nordic Center,1516,960,3,3,100.3,184.4900286,1,3,3,1
North,Reservoir,1314,1,3,3,284,54.98,9,7.333333333,66,1
North,Reservoir,1314,10,3,3,194.39,109.96,11,8.9,97.9,1
North,Reservoir,1314,21,3,3,23.12,206.17,1,3,3,1
North,Reservoir,1314,28,3,3,53.11,42.41,5,9.4,47,1
North,Reservoir,1314,33,3,3,95,98.96,4,5.75,23,1
North,Reservoir,1314,38,3,3,146.68,188.5,4,7,28,1
North,Reservoir,1314,42,3,3,42.73,39.27,4,5.75,23,1
North,Reservoir,1314,43,3,3,95.06,94.25,6,6.333333333,38,1
North,Reservoir,1314,44,3,3,109.96,64.8,18,8,144,1
North,Reservoir,1314,49,3,3,50.33,70.1,1,3,3,1
North,Reservoir,1314,51,3,3,122.15,153.15,6,8.333333333,50,1
North,Reservoir,1314,58,3,3,164.49,213.63,12,6.888888889,82.66666667,1
North,Reservoir,1314,61,3,3,133.63,141.37,4,6.5,26,1
North,Reservoir,1314,62,3,3,25.07,24.74,1,3,3,1
North,Reservoir,1314,63,3,,25.49,,1,14,14,0
North,Reservoir,1314,70,3,3,78.35,107.21,9,13.33333333,120,1
North,Reservoir,1314,75,3,3,94.76,106.03,0,,0,1
North,Reservoir,1314,77,3,3,46.62,47.12,3,11,33,1
North,Reservoir,1314,95,3,3,191.51,207.35,5,9.6,48,1
North,Reservoir,1314,97,3,,127.52,,8,4.375,35,0
North,Reservoir,1314,100,3,3,39.65,49.48,0,,0,1
North,Reservoir,1314,101,3,3,21.25,40.84,0,,0,1
North,Reservoir,1314,102,3,3,125.59,141.37,8,5.142857143,41.14285714,1
North,Reservoir,1314,107,3,3,98.65,137.84,7,10,70,1
North,Reservoir,1314,108,3,3,153.81,170.43,0,,0,1
North,Reservoir,1314,115,3,3,88.51,60.08,1,9,9,1
North,Reservoir,1314,141,3,3,53.27,125.27,0,,0,1
North,Reservoir,1314,144,3,3,90.6,113.1,2,8.5,17,1
North,Reservoir,1314,146,3,3,54.04,82.47,3,4.666666667,14,1
North,Reservoir,1314,163,3,3,36.07,47.12,2,0,0,1
North,Reservoir,1314,170,3,3,69.15,111.33,0,,0,1
North,Reservoir,1314,173,3,,,,3,6,18,0
North,Reservoir,1314,174,3,3,30.07,56.16,2,5.5,11,1
North,Reservoir,1314,184,3,3,41.2,43.98,1,10,10,1
North,Reservoir,1314,191,3,3,79.04,31.42,0,,0,1
North,Reservoir,1415,1,3,3,54.98,119.63,15,0,0,1
North,Reservoir,1415,2,2,2,15.71,34.09,,,,1
North,Reservoir,1415,5,2,,0.2,,,,,
North,Reservoir,1415,8,2,2,27.49,29.03,,,,1
North,Reservoir,1415,10,3,3,109.96,160.59,2,3.5,7,1
North,Reservoir,1415,11,3,3,90.32,84.12,5,9.2,46,1
North,Reservoir,1415,13,3,3,207.35,201.09,14,8.2,114.8,1
North,Reservoir,1415,14,3,3,3.14,29.22,1,8,8,1
North,Reservoir,1415,15,2,2,2.36,22.27,,,,1
North,Reservoir,1415,16,2,,21.99,,,,,
North,Reservoir,1415,18,2,,31.42,,,,,
North,Reservoir,1415,20,2,2,31.42,55.42,,,,1
North,Reservoir,1415,21,3,3,206.17,79.17,15,8.5,127.5,1
North,Reservoir,1415,23,2,3,85.8,71.86,,,,1
North,Reservoir,1415,27,3,3,102.1,71.49,10,7,70,1
North,Reservoir,1415,28,3,3,42.41,47.43,7,7.166666667,50.16666667,1
North,Reservoir,1415,29,2,2,1.18,7.15,,,,1
North,Reservoir,1415,31,2,,4.71,,,,,0
North,Reservoir,1415,33,3,3,98.96,74.77,3,4,12,1
North,Reservoir,1415,34,3,3,115.45,67.74,3,5.333333333,16,1
North,Reservoir,1415,38,3,3,188.5,193.18,6,6.166666667,37,1
North,Reservoir,1415,41,2,3,36.72,89.78,,,,1
North,Reservoir,1415,42,3,3,39.27,53.39,7,5.4,37.8,1
North,Reservoir,1415,43,3,3,94.25,53.28,5,9,45,1
North,Reservoir,1415,44,3,3,64.8,14.7,3,11,33,1
North,Reservoir,1415,46,2,2,8.84,9.61,,,,1
North,Reservoir,1415,49,3,3,70.1,65.16,2,4.5,9,1
North,Reservoir,1415,50,2,,7.07,,,,,
North,Reservoir,1415,51,3,3,153.15,102.49,16,9.6,153.6,1
North,Reservoir,1415,58,3,3,213.63,129.59,30,6.5,195,1
North,Reservoir,1415,61,3,3,141.37,40.29,10,11.5,115,1
North,Reservoir,1415,62,3,2,24.74,20.83,0,,0,1
North,Reservoir,1415,65,2,,0.59,,,,,0
North,Reservoir,1415,70,3,2,107.21,27.79,14,13.5,189,1
North,Reservoir,1415,71,3,3,155.51,77.75,15,10.4,156,1
North,Reservoir,1415,75,3,3,106.03,104.54,3,5,15,1
North,Reservoir,1415,77,3,3,47.12,21.6,5,7.2,36,1
North,Reservoir,1415,79,2,,26.51,,,,,0
North,Reservoir,1415,82,3,3,49.68,72.26,1,0,0,1
North,Reservoir,1415,85,3,2,27.49,9.07,1,8,8,1
North,Reservoir,1415,92,3,3,41.23,62.12,2,5,10,1
North,Reservoir,1415,95,3,3,207.35,184.02,19,11.2,212.8,1
North,Reservoir,1415,100,3,3,49.48,42.73,4,6.75,27,1
North,Reservoir,1415,101,3,2,40.84,19.72,3,6.666666667,20,1
North,Reservoir,1415,102,3,3,141.37,75.34,16,6,96,1
North,Reservoir,1415,103,2,,0.2,,,,,0
North,Reservoir,1415,107,3,3,137.84,79.17,14,6.777777778,94.88888889,1
North,Reservoir,1415,108,3,3,170.43,128.65,6,5.833333333,35,1
North,Reservoir,1415,113,3,,10.8,,0,,0,0
North,Reservoir,1415,114,2,3,30.63,62.91,,,,1
North,Reservoir,1415,115,3,3,60.08,39.84,6,9.25,55.5,1
North,Reservoir,1415,130,2,2,12.57,20.42,,,,1
North,Reservoir,1415,131,3,3,37.7,30.67,3,8,24,1
North,Reservoir,1415,132,2,,0.2,,,,,0
North,Reservoir,1415,134,3,3,252.9,173.31,25,7.333333333,183.3333333,1
North,Reservoir,1415,137,2,,1.57,,,,,0
