"Range","Site","TransYear","s_s","j_s","a_s","s_j","j_j","a_j","s_a","j_a","a_a"
"Center","Bountiful","1314",0,0,0.212811841994556,0.152485646734114,0.0383555568700095,0,0.060326195260442,0.152485646734114,0.383535112406764
"Center","Bountiful","1415",0,0,0.10351004542125,0.0832605310015634,0.0720460659710185,0.0393940328198729,0.0202495144196864,0.122654563821436,0.558885246545173
"Center","Bountiful","1516",0,0,0,0,0.0161831843291711,0.0374291018734377,0,0.0374291018734377,0.908958611923954
"Center","Providence","1314",0,0,0.204655162930902,0.15711727555144,0.133487472269401,0.0205915934743774,0.0475378873794624,0.177708869025818,0.2589017393686
"Center","Providence","1415",0,0,0.170418194428579,0.153070310654581,0.0809841701042549,0.0213147567843169,0.0173478837739984,0.174385067438898,0.382479616815371
"Center","Providence","1516",0,0,0,0,0.143568499224214,0.087518647910984,0,0.087518647910984,0.681394204953818
"Center","Uinta","1314",0,0,0.0641260611859623,0.0641260611859623,0.0301302134646778,0.0142246240114974,0,0.0783506851974597,0.749042354954441
"Center","Uinta","1415",0,0,0.218767703900514,0.0525643093215726,0.00617645417339745,0.0316560824364342,0.166203394578941,0.0842203917580068,0.440411663831135
"Center","Uinta","1516",0,0,0,0,0.0588204653090827,0.0844460927085878,0,0.0844460927085878,0.772287349273742
"North","Nordic Center","1314",0,0,0.140756599210569,0.140756599210569,0.103465253994326,0.0108142488964521,0,0.151570848107021,0.452636450581063
"North","Nordic Center","1415",0,0,0.126845707025832,0.126845707025832,0.276654012224817,0.0846850295663392,0,0.211530736592171,0.17343880756501
"North","Nordic Center","1516",0,0,0,0,0.026645752076625,0.0967992640481396,0,0.0967992640481396,0.779755719827096
"North","Reservoir","1314",0,0,0.102523273540549,0.102523273540549,0.0699337871604314,0,0,0.102523273540549,0.62249639221792
"North","Reservoir","1415",0,0,0.0897135379031813,0.0897135379031813,0.0585118679233484,0.0351184188170176,0,0.124831956720199,0.602110680733073
"North","Reservoir","1516",0,0,0,0,0.0926932969891171,0.108068671031823,0,0.108068671031823,0.691169360947237
"North","Swan","1415",0.00159007166580657,0,0.147993641481232,0.147993641481233,0.0590174372181068,0.0494056427308245,0,0.197399284212057,0.39660028121074
"North","Swan","1516",0,0,0,0,0.252069493095817,0.144192107137968,0,0.144192107137968,0.459546292628247
"North","Wolverine","1314",0,0,0.0834140329507269,0.0834140329507269,0.416301153994411,0.0302799296227199,0,0.113693962573447,0.272896887907969
"North","Wolverine","1415",0,0,0.146786364005536,0.146786364005536,0.0324081874874893,0.034225072602183,0,0.181011436607719,0.458782575291536
"North","Wolverine","1516",0,0,0,0,0.0115801375309176,0.066113917812579,0,0.066113917812579,0.856192026843924
