Range,Site,TransYear,s_s,j_s,a_s,s_j,j_j,a_j,s_a,j_a,a_a,lambda,latitude,suitability
Center,Bountiful,1314,0,0,1.8,0.36231884,0.25,0,0.08695652,0.60294118,0.8,1.2438954,40.90254,0.56
Center,Bountiful,1415,0,0,0.74774775,0.25925926,0.41860465,0.08108108,0.04938272,0.55813953,0.9009009,1.13125662,40.90254,0.56
Center,Bountiful,1516,0,0,0,0.44578313,0.25,0.03787879,0.12048193,0.5,0.79545455,0.82820978,40.90254,0.56
Center,Providence,1314,0,0,2.86666667,0.28205128,0.45454545,0.1,0.03846154,0.27272727,0.56666667,1.05967158,41.69027,0.229
Center,Providence,1415,0,0,1.31147541,0.44186047,0.3902439,0.06557377,0.03488372,0.58536585,0.81967213,1.23056502,41.69027,0.229
Center,Providence,1516,0,0,0,0.375,0.5063291,0.1507937,0,0.1898734,0.7222222,0.81498482,41.69027,0.229
Center,Uinta,1314,0,0,2.32432432,0.04225352,0.2238806,0.02702703,0,0.29850746,0.72972973,0.80606029,41.09098,0.51
Center,Uinta,1415,0,0,1.42857143,0.12790698,0.08421053,0.08928571,0.25581395,0.72631579,0.78571429,1.23248163,41.09098,0.51
Center,Uinta,1516,0,0,0,0.2125,0.29032258,0.06432749,0.0625,0.4516129,0.6374269,0.70712662,41.09098,0.51
North,Nordic Center,1314,0,0,1.75,0.12820513,0.30769231,0.02272727,0,0.26923077,0.56818182,0.75844445,42.72291,0.322
North,Nordic Center,1415,0,0,2,0.3116883,0.4716981,0.5,0,0.1320755,0.375,0.83236031,42.72291,0.322
North,Nordic Center,1516,0,0,0,0.3625,0.1875,0.1363636,0.0125,0.4791667,0.7727273,0.86865405,42.72291,0.322
North,Reservoir,1314,0,0,2.2857143,0.1149425,0.4318182,0,0,0.3863636,0.9142857,1.06486579,43.28505,0.417
North,Reservoir,1415,0,0,1.22727273,0.15,0.30357143,0.07575758,0,0.39285714,0.78787879,0.95122492,43.28505,0.417
North,Reservoir,1516,0,0,0,0.22222222,0.30508475,0.125,0.02469136,0.25423729,0.57142857,0.66077502,43.28505,0.417
North,Swan,1415,0.01204819,0,2.21621622,0.20481928,0.26086957,0.13513514,0,0.60869565,0.75675676,1.13341621,43.20944,0.225
North,Swan,1516,0,0,0,0.35365854,0.21666667,0.08641975,0,0.11666667,0.25925926,0.34060719,43.20944,0.225
North,Wolverine,1314,0,0,2.32352941,0.09589041,0.36,0.17647059,0,0.02,0.32352941,0.45831783,43.25886,0.424
North,Wolverine,1415,0,0,2.2727273,0.2658228,0.1411765,0.1515152,0,0.2588235,0.6666667,0.92969826,43.25886,0.424
North,Wolverine,1516,0,0,0,0.41333333,0.13636364,0.08219178,0.02666667,0.62121212,0.84931507,0.91489796,43.25886,0.424
